사업명,지원연도,지원기간,광역,기초,시장명,지원금액(단위_백만원)
첫걸음 기반조성,2021,‘21(단년도사업),경남,하동군,화개장터,135
첫걸음 기반조성,2021,‘21(단년도사업),전남,여수시,(주)서시장,112
청년몰 조성,2021,‘21~'22,전북,익산시,익산중앙시장,1428
청년몰 확장,2021,‘21,강원,정선군,사북시장,400
청년몰 확장,2021,‘21,제주,제주시,동문공설시장,100
청년몰 활성화,2021,‘21,강원,정선군,사북시장,120
청년몰 활성화,2021,‘21,강원,속초시,설악로데오거리상점가,100
청년몰 활성화,2021,‘21,대구,중구,약령시장,150
청년몰 활성화,2021,‘21,전북,김제,김제전통시장,150
문화관광형 시장,2022,‘22~'23,서울,노원구,공릉동도깨비시장,230
문화관광형 시장,2022,‘22~'23,서울,은평구,연서시장,220
문화관광형 시장,2022,‘22~'23,서울,서대문구,영천시장,22
문화관광형 시장,2022,‘22~'23,서울,양천구,신월1동신영시장,230
문화관광형 시장,2022,‘22~'23,부산,부산진구,부산평화시장,251
문화관광형 시장,2022,‘22~'23,부산,사하구,신평골목시장,264
문화관광형 시장,2022,‘22~'23,부산,연제구,연동골목시장,264
문화관광형 시장,2022,‘22~'23,부산,수영구,민락골목시장,264
문화관광형 시장,2022,‘22~'23,부산,기장군,기장시장,220
문화관광형 시장,2022,‘22~'23,대구,달성군,현풍백년도깨비시장,176
문화관광형 시장,2022,‘22~'23,인천,미추홀구,용현시장,276
문화관광형 시장,2022,‘22~'23,인천,남동구,구월시장,276
문화관광형 시장,2022,‘22~'23,인천,부평구,부평종합시장,251
문화관광형 시장,2022,‘22~'23,인천,서구,정서진중앙시장,276
문화관광형 시장,2022,‘22~'23,광주,동구,금남지하도상가,264
문화관광형 시장,2022,‘22~'23,광주,서구,양동건어물시장,240
문화관광형 시장,2022,‘22~'23,광주,남구,봉선시장,264
문화관광형 시장,2022,‘22~'23,광주,북구,패션의거리,264
문화관광형 시장,2022,‘22~'23,경기,수원시,정자시장,230
문화관광형 시장,2022,‘22~'23,경기,부천시,부천상동시장,209
문화관광형 시장,2022,‘22~'23,경기,부천시,역곡상상시장,220
문화관광형 시장,2022,‘22~'23,경기,오산시,오색시장,209
문화관광형 시장,2022,‘22~'23,경기,파주시,광탄시장,184
문화관광형 시장,2022,‘22~'23,경기,양평군,용문천년시장,184
문화관광형 시장,2022,‘22~'23,경기,이천시,예스파크상점가,184
문화관광형 시장,2022,‘22~'23,강원,태백시,황지자유시장,230
문화관광형 시장,2022,‘22~'23,강원,삼척시,삼척중앙시장,230
문화관광형 시장,2022,‘22~'23,강원,평창군,봉평전통시장,176
문화관광형 시장,2022,‘22~'23,충북,청주시,직지시장,220
문화관광형 시장,2022,‘22~'23,충북,제천시,내토전통시장,176
문화관광형 시장,2022,‘22~'23,충북,음성군,음성시장,230
문화관광형 시장,2022,‘22~'23,충남,보령시,보령중앙시장,220
문화관광형 시장,2022,‘22~'23,전북,진안군,진안고원시장,176
문화관광형 시장,2022,‘22~'23,전북,무주군,무주시장(반딧불장터),176
문화관광형 시장,2022,‘22~'23,전남,광양시,광양5일시장,184
문화관광형 시장,2022,‘22~'23,전남,광양시,중마시장,176
문화관광형 시장,2022,‘22~'23,경북,경산시,경산공설시장,230
문화관광형 시장,2022,‘22~'23,경남,창원시,봉곡시장,230
문화관광형 시장,2022,‘22~'23,경남,진주시,자유시장,176
문화관광형 시장,2022,‘22~'23,제주,제주시,중앙로상점가,184
문화관광형 시장,2022,‘21~'22,서울,종로구,세종마을음식문화거리,200
문화관광형 시장,2022,‘21~'22,서울,용산구,용산용문전통시장,200
문화관광형 시장,2022,‘21~'22,서울,양천구,목사랑시장,225
문화관광형 시장,2022,‘21~'22,부산,동구,초량전통시장,228
문화관광형 시장,2022,‘21~'22,부산,남구,못골골목시장,240
문화관광형 시장,2022,‘21~'22,부산,사하구,괴정골목시장,240
문화관광형 시장,2022,‘21~'22,대구,북구,서변중앙시장,228
문화관광형 시장,2022,‘21~'22,대구,달서구,와룡시장,300
