"행정구역(시군구)별",2022.07,2022.07,2022.07,2022.08,2022.08,2022.08,2022.09,2022.09,2022.09
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"보성군",38942,19022,19920,38834,18975,19859,38683,18906,19777
"화순군",62315,30793,31522,62207,30758,31449,62086,30699,31387
"장흥군",36102,17593,18509,35999,17543,18456,35856,17499,18357
"강진군",33397,16205,17192,33314,16164,17150,33243,16149,17094
"해남군",66523,33074,33449,66336,32980,33356,66129,32866,33263
"영암군",52976,27576,25400,52898,27562,25336,52679,27481,25198
"무안군",91158,45894,45264,91097,45866,45231,90904,45751,45153
"함평군",30977,15600,15377,30952,15586,15366,30923,15587,15336
"영광군",52292,26118,26174,52348,26156,26192,52204,26102,26102
"장성군",43231,22176,21055,43233,22210,21023,43134,22173,20961
"완도군",48013,24203,23810,47955,24157,23798,47830,24109,23721
"진도군",29729,14769,14960,29686,14739,14947,29602,14708,14894
"신안군",38170,20486,17684,38124,20472,17652,37981,20404,17577
"경상북도",2612016,1317139,1294877,2609356,1315815,1293541,2605066,1313983,1291083
"포항시",499363,253032,246331,498597,252607,245990,497900,252233,245667
"남구",228944,118587,110357,228610,118428,110182,228242,118221,110021
"북구",270419,134445,135974,269987,134179,135808,269658,134012,135646
"경주시",250743,125480,125263,250453,125322,125131,250108,125174,124934
"김천시",139851,70197,69654,139710,70096,69614,139573,70015,69558
"안동시",155725,76972,78753,155451,76851,78600,155182,76737,78445
"구미시",409091,210324,198767,408619,210067,198552,408179,209920,198259
"영주시",101332,50264,51068,101192,50167,51025,100997,50064,50933
"영천시",101222,51442,49780,101200,51430,49770,101131,51422,49709
"상주시",95394,46911,48483,95305,46881,48424,95108,46794,48314
"문경시",71752,35176,36576,71481,35072,36409,71003,34898,36105
"경산시",267607,134623,132984,268138,134906,133232,267891,134812,133079
"군위군",23359,11956,11403,23318,11928,11390,23312,11941,11371
"의성군",50477,24823,25654,50374,24779,25595,50241,24730,25511
"청송군",24464,12249,12215,24387,12221,12166,24286,12154,12132
"영양군",16200,8081,8119,16126,8052,8074,16095,8031,8064
"영덕군",34991,16633,18358,34937,16617,18320,34772,16546,18226
"청도군",41617,20542,21075,41609,20534,21075,41491,20474,21017
"고령군",30333,15579,14754,30289,15547,14742,30198,15499,14699
"성주군",42822,22256,20566,42740,22227,20513,42620,22167,20453
"칠곡군",113157,59040,54117,112993,58973,54020,112740,58916,53824
"예천군",55671,27353,28318,55705,27341,28364,55716,27342,28374
"봉화군",30462,15428,15034,30413,15417,14996,30317,15385,14932
"울진군",47321,23782,23539,47249,23762,23487,47167,23729,23438
"울릉군",9062,4996,4066,9070,5018,4052,9039,5000,4039
"경상남도",3293709,1658198,1635511,3290991,1656746,1634245,3286470,1654622,1631848
"창원시",1026057,519679,506378,1024964,519080,505884,1023777,518462,505315
"의창구",216412,110212,106200,216241,110106,106135,216097,110009,106088
"성산구",249886,127460,122426,249447,127229,122218,249155,127067,122088
"마산합포구",180611,89785,90826,180489,89727,90762,180147,89599,90548
"마산회원구",184876,92449,92427,184579,92233,92346,184241,92025,92216
"진해구",194272,99773,94499,194208,99785,94423,194137,99762,94375
"진주시",344966,170451,174515,344675,170289,174386,344459,170150,174309
"통영시",123997,62223,61774,123645,62041,61604,123344,61921,61423
"사천시",109752,55337,54415,109891,55429,54462,109585,55304,54281
"사천남양출장소",0,0,0,0,0,0,0,0,0
"김해시",536065,271180,264885,536533,271359,265174,535913,271068,264845
"장유출장소",0,0,0,0,0,0,0,0,0
"밀양시",103155,50675,52480,102979,50593,52386,102775,50517,52258
"거제시",238192,124591,113601,237774,124364,113410,237293,124092,113201
"양산시",353821,177264,176557,353668,177188,176480,353576,177169,176407
"양산시웅상출장소",0,0,0,0,0,0,0,0,0
"의령군",26271,12983,13288,26206,12951,13255,26131,12930,13201
"함안군",61967,31614,30353,61776,31524,30252,61677,31484,30193
"창녕군",59229,29564,29665,59051,29490,29561,58750,29360,29390
"고성군",49962,25094,24868,49994,25112,24882,49895,25066,24829
"남해군",42015,20403,21612,41919,20353,21566,41769,20287,21482
"하동군",42927,21470,21457,42756,21374,21382,42679,21329,21350
"산청군",34189,16920,17269,34144,16907,17237,34089,16886,17203
"함양군",38131,18450,19681,38077,18419,19658,37962,18365,19597
"거창군",60531,29716,30815,60523,29699,30824,60476,29687,30789
"합천군",42482,20584,21898,42416,20574,21842,42320,20545,21775
"제주특별자치도",678491,339951,338540,679016,340105,338911,678426,339801,338625
"제주시",493898,246826,247072,494059,246892,247167,493575,246644,246931
"서귀포시",184593,93125,91468,184957,93213,91744,184851,93157,91694
